DEPARTMENT,AGE RANGE,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Female to male % rate,Female to male % count,Notes
Mayor's Office,36 - 40,35.96,2,,,35.96,2,,,no men in age range
Mayor's Office,41 - 45,51.88,5,52.95,2,52.18,7,97.96,250,
Mayor's Office,46 - 50,20.19,2,61.84,2,41.01,4,32.64,100,
Mayor's Office,51 - 55,41.19,1,86.11,1,63.65,2,47.83,100,
Mayor's Office,61 - 65,37.77,1,58.95,1,48.36,2,64.08,100,
Mayor's Office Total,,36.3,21,45,12,39.47,33,80.67,175,
Municipal Court,26 - 30,23.96,6,32.34,4,27.31,10,74.1,150,
Municipal Court,31 - 35,31.16,9,33.87,9,32.52,18,92,100,
Municipal Court,36 - 40,31.43,12,35.28,8,32.97,20,89.08,150,
Municipal Court,41 - 45,27.87,18,37.22,9,30.99,27,74.87,200,
Municipal Court,46 - 50,29.75,19,47.14,8,34.91,27,63.11,237.5,
Municipal Court,51 - 55,31.48,24,39.7,11,34.07,35,79.29,218.18,
Municipal Court,56 - 60,26.71,23,41.12,7,30.07,30,64.96,328.57,
Municipal Court,61 - 65,33.43,22,40.18,9,35.39,31,83.2,244.44,
Municipal Court,66 - 70,34.99,1,38.24,4,37.59,5,91.51,25,
Municipal Court,over 70,,,31.49,1,31.49,1,,,no women in age range
Municipal Court Total,,29.92,134,38.56,70,32.88,204,77.58,191.43,
Neighborhoods Department,20 - 25,,,21.77,1,21.77,1,,,no women in age range
Neighborhoods Department,26 - 30,44.52,1,42.05,1,43.29,2,105.87,100,
Neighborhoods Department,31 - 35,33.67,3,,,33.67,3,,,no men in age range
Neighborhoods Department,36 - 40,39.13,7,44.19,1,39.76,8,88.55,700,
Neighborhoods Department,41 - 45,35.38,7,,,35.38,7,,,no men in age range
Neighborhoods Department,46 - 50,38.83,6,35.05,2,37.88,8,110.8,300,
Neighborhoods Department,51 - 55,34.55,12,28.35,1,34.08,13,121.88,1200,
Neighborhoods Department,56 - 60,41.78,8,41.42,6,41.62,14,100.86,133.33,
Neighborhoods Department,61 - 65,48.47,3,37.7,2,44.16,5,128.58,150,
Neighborhoods Department,66 - 70,,,40.4,2,40.4,2,,,no women in age range
Neighborhoods Department Total,,38.18,47,38.2,16,38.18,63,99.95,293.75,
Office for Civil Rights,26 - 30,29.44,2,,,29.44,2,,,no men in age range
Office for Civil Rights,31 - 35,32.95,2,,,32.95,2,,,no men in age range
Office for Civil Rights,36 - 40,37,2,38.32,1,37.44,3,96.55,200,
Office for Civil Rights,41 - 45,39.79,3,36.3,1,38.92,4,109.61,300,
Office for Civil Rights,46 - 50,22.56,1,34.08,4,31.77,5,66.2,25,
Office for Civil Rights,51 - 55,41.3,3,,,41.3,3,,,no men in age range
Office for Civil Rights,56 - 60,30.13,2,38.48,1,32.91,3,78.3,200,
Office for Civil Rights,61 - 65,,,36.3,1,36.3,1,,,no women in age range
Office for Civil Rights Total,,34.99,15,35.71,8,35.24,23,97.97,187.5,
Office of Economic Development,20 - 25,,,27.25,1,27.25,1,,,no women in age range
Office of Economic Development,26 - 30,,,40.71,1,40.71,1,,,no women in age range
Office of Economic Development,31 - 35,41.55,1,47.37,1,44.46,2,87.72,100,
Office of Economic Development,36 - 40,34.59,3,44.26,3,39.43,6,78.16,100,
Office of Economic Development,41 - 45,47.4,3,49.46,2,48.22,5,95.84,150,
Office of Economic Development,46 - 50,54.65,1,41.18,2,45.67,3,132.72,50,
Office of Economic Development,51 - 55,33.95,2,50.56,2,42.25,4,67.14,100,
Office of Economic Development,56 - 60,,,47.37,1,47.37,1,,,no women in age range
Office of Economic Development Total,,41.01,10,44.45,13,42.95,23,92.25,76.92,
Office of Sustainability & Env,26 - 30,,,38.48,1,38.48,1,,,no women in age range
Office of Sustainability & Env,31 - 35,43.72,1,,,43.72,1,,,no men in age range
Office of Sustainability & Env,36 - 40,48.79,3,49.72,1,49.02,4,98.12,300,
Office of Sustainability & Env,41 - 45,44.9,4,,,44.9,4,,,no men in age range
Office of Sustainability & Env,46 - 50,49.71,3,,,49.71,3,,,no men in age range
Office of Sustainability & Env,51 - 55,,,43.08,1,43.08,1,,,no women in age range
Office of Sustainability & Env,66 - 70,,,43.1,1,43.1,1,,,no women in age range
Office of Sustainability & Env Total,,47.16,11,43.59,4,46.21,15,108.19,275,
Parks Department,20 - 25,19.47,5,20.3,7,19.95,12,95.92,71.43,
Parks Department,26 - 30,22.1,20,22.1,31,22.1,51,100.01,64.52,
Parks Department,31 - 35,23.73,36,25.29,50,24.64,86,93.85,72,
Parks Department,36 - 40,27.7,24,25.56,47,26.28,71,108.39,51.06,
Parks Department,41 - 45,29,41,27.77,61,28.26,102,104.4,67.21,
Parks Department,46 - 50,28.53,49,27.25,66,27.8,115,104.69,74.24,
Parks Department,51 - 55,30.75,49,29.1,106,29.62,155,105.68,46.23,
Parks Department,56 - 60,32.02,61,30.21,89,30.95,150,105.98,68.54,
Parks Department,61 - 65,28.6,43,29.02,60,28.84,103,98.53,71.67,
Parks Department,66 - 70,34.34,8,26.36,10,29.91,18,130.27,80,
Parks Department,over 70,,,22.52,2,22.52,2,,,no women in age range
Parks Department,under 20,15.76,1,,,15.76,1,,,no men in age range
Parks Department Total,,28.56,337,27.62,529,27.98,866,103.43,63.71,
Personnel Department,26 - 30,14.48,1,13.43,1,13.96,2,107.82,100,
Personnel Department,31 - 35,26.07,5,36.97,2,29.19,7,70.53,250,
Personnel Department,36 - 40,42.72,5,42.25,1,42.64,6,101.11,500,
Personnel Department,41 - 45,36.71,8,54.63,1,38.7,9,67.19,800,
Personnel Department,46 - 50,42.53,9,33.69,1,41.65,10,126.24,900,
Personnel Department,51 - 55,36.36,15,59.08,3,40.15,18,61.55,500,
Personnel Department,56 - 60,37.39,13,45.19,5,39.56,18,82.74,260,
Personnel Department,61 - 65,34.88,8,55.01,3,40.37,11,63.41,266.67,
Personnel Department,over 70,,,42.25,1,42.25,1,,,no women in age range
Personnel Department Total,,36.65,64,46.02,18,38.71,82,79.63,355.56,
Police Department,20 - 25,24.5,12,29.48,16,27.34,28,83.11,75,
Police Department,26 - 30,31.11,47,35.66,101,34.22,148,87.24,46.53,
Police Department,31 - 35,31.6,48,38.89,134,36.97,182,81.25,35.82,
Police Department,36 - 40,35.2,57,39.83,146,38.53,203,88.37,39.04,
Police Department,41 - 45,37.15,87,43.04,266,41.59,353,86.31,32.71,
Police Department,46 - 50,37.37,82,45.91,252,43.81,334,81.39,32.54,
Police Department,51 - 55,35.53,84,48.9,193,44.85,277,72.65,43.52,
Police Department,56 - 60,35.74,55,47.55,128,44,183,75.15,42.97,
Police Department,61 - 65,33.38,43,47.05,55,41.05,98,70.96,78.18,
Police Department,66 - 70,26.78,13,47.21,17,38.35,30,56.72,76.47,
Police Department,over 70,27.49,3,31.76,1,28.56,4,86.57,300,
Police Department Total,,34.64,531,43.59,1309,41.01,1840,79.45,40.57,
Police Pension System,41 - 45,45.96,1,,,45.96,1,,,no men in age range
Police Pension System,46 - 50,45.96,1,,,45.96,1,,,no men in age range
Police Pension System,66 - 70,,,61.42,1,61.42,1,,,no women in age range
Police Pension System Total,,45.96,2,61.42,1,51.11,3,74.82,200,
Seattle Center,20 - 25,,,17.6,2,17.6,2,,,no women in age range
Seattle Center,26 - 30,22.75,2,18.93,2,20.84,4,120.15,100,
Seattle Center,31 - 35,29.66,4,25.53,2,28.28,6,116.21,200,
Seattle Center,36 - 40,27.61,8,36.36,7,31.7,15,75.94,114.29,
Seattle Center,41 - 45,29.01,11,29.52,20,29.33,31,98.27,55,
Seattle Center,46 - 50,33.19,22,27.7,23,30.38,45,119.82,95.65,
Seattle Center,51 - 55,32.42,16,33.09,29,32.85,45,97.99,55.17,
Seattle Center,56 - 60,28.23,11,29.28,28,28.98,39,96.42,39.29,
Seattle Center,61 - 65,30.65,15,26.88,18,28.59,33,114.02,83.33,
Seattle Center,66 - 70,30.28,2,22.14,8,23.76,10,136.77,25,
Seattle Center,over 70,18.96,2,17.11,2,18.04,4,110.81,100,
Seattle Center Total,,30.34,93,28.94,141,29.5,234,104.84,65.96,
Seattle Dept of Transportation,20 - 25,23.38,1,19.8,8,20.2,9,118.07,12.5,
Seattle Dept of Transportation,26 - 30,34.8,7,29.19,26,30.38,33,119.24,26.92,
Seattle Dept of Transportation,31 - 35,33.95,22,32.89,37,33.29,59,103.22,59.46,
Seattle Dept of Transportation,36 - 40,41.27,30,35.36,64,37.25,94,116.72,46.88,
Seattle Dept of Transportation,41 - 45,37.92,24,37.2,70,37.38,94,101.93,34.29,
Seattle Dept of Transportation,46 - 50,39.05,40,37.79,73,38.24,113,103.33,54.79,
Seattle Dept of Transportation,51 - 55,40.14,41,40.34,67,40.26,108,99.52,61.19,
Seattle Dept of Transportation,56 - 60,37.24,35,35.32,70,35.96,105,105.44,50,
Seattle Dept of Transportation,61 - 65,38.19,20,36.93,32,37.42,52,103.41,62.5,
Seattle Dept of Transportation,66 - 70,41.41,6,46.08,8,44.08,14,89.87,75,
Seattle Dept of Transportation,over 70,,,28.68,2,28.68,2,,,no women in age range
Seattle Dept of Transportation Total,,38.43,226,36.2,457,36.94,683,106.17,49.45,
Seattle Public Utilities,20 - 25,,,24.77,4,24.77,4,,,no women in age range
Seattle Public Utilities,26 - 30,32.21,16,27.99,36,29.29,52,115.08,44.44,
Seattle Public Utilities,31 - 35,32.5,31,33.48,67,33.17,98,97.09,46.27,
Seattle Public Utilities,36 - 40,34.03,41,36.31,94,35.61,135,93.73,43.62,
Seattle Public Utilities,41 - 45,37.3,72,38.37,119,37.96,191,97.21,60.5,
Seattle Public Utilities,46 - 50,39.18,83,37.89,134,38.39,217,103.39,61.94,
Seattle Public Utilities,51 - 55,39.13,109,39.47,140,39.32,249,99.12,77.86,
Seattle Public Utilities,56 - 60,40.82,92,38.06,124,39.24,216,107.24,74.19,
Seattle Public Utilities,61 - 65,37.12,58,40.27,64,38.77,122,92.18,90.63,
Seattle Public Utilities,66 - 70,34.2,7,40.71,20,39.02,27,84.01,35,
Seattle Public Utilities,over 70,22.56,1,37.03,3,33.42,4,60.92,33.33,
Seattle Public Utilities Total,,37.82,510,37.46,805,37.6,1315,100.98,63.35,
Grand Total,,35.35,3600,39.04,6285,37.7,9885,90.55,57.28,
